	Marca	Modello	Anno	Tipo	KIT-W-Kit	FLUSHBAR Argento 	"FLUSHBAR MIX Argento 
W-Flush"	THRUBAR Argento W-Through	RAILBAR Argento W-RailBar	RAILBAR MIX Argento W-RailBarMix	FLUSHBAR Nere WB-Flush	FLUSHBAR MIX Nere WB-FlushMix	THRUBAR Nere WB-Through	RAILBAR Nere WB-RailBar	RAILBAR MIX nere WB-RailBarMix 	Descrizione tetto
195	Ford	Ecosport	2014-2015	Tetto nudo	YK782W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
196	Ford	Ecosport - profilo	2014-	Profili integrati	YK1001W	Y8050179		Y8050187			Y8050219		Y8050227			profilo integrato
197	Ford	Ecosport	2015-	Tetto nudo	YK782W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
198	Ford	Edge (no tetto vetro)	2016-	Tetto nudo	YK1029W	Y8050183		Y8050189			Y8050223		Y8050229			tetto standard
199	Ford	Edge (solo tetto vetro)	2016-	Tetto nudo	YK1055W		Y8050198	Y8050189				Y8050237	Y8050229			tetto standard
200	Ford	Edge - profilo	2016-	Profili integrati	YK1000W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
201	Ford	Fiesta 5p	2002-2008	Tetto nudo	YK175W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
202	Ford	Fiesta 5p	2008-2017	Tetto nudo	YK839W		Y8050194	Y8050188				Y8050233	Y8050228			tetto standard
203	Ford	Fiesta 5p (anche tetto vetro)	2017-	Tetto nudo	YK839W		Y8050194	Y8050187				Y8050233	Y8050227			tetto standard
204	Ford	Fiesta 5p - profilo	2017-	Profili integrati	YK1042W		Y8050192	Y8050187				Y8050231	Y8050227			profilo integrato
205	Ford	Focus 3p - fixpoint	2008-2011	Punti fissi	YK412W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
206	Ford	Focus 5p	2005-2007	Tetto nudo	YK172W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
207	Ford	Focus 5p - fixpoint	2008-2011	Punti fissi	YK602W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
208	Ford	Focus 5p (solo con foro sottoporta)	2011-2018	Tetto nudo	YK614W		Y8050196	Y8050188				Y8050235	Y8050228			tetto standard
209	Ford	Focus Wagon	2005-2007	Tetto nudo	YK172W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
210	Ford	Focus Wagon - railing	2005-2007	Barre lungitudinali	YK328W			Y8050187	Y8050201				Y8050227	Y8050238		railing standard
211	Ford	Focus Wagon - profilo scanalato	2005-2007	Profili a T	YK434W	Y8050180		Y8050188			Y8050220		Y8050228			profilo scanalato
212	Ford	Focus Wagon - fixpoint	2008-2011	Punti fissi	YK602W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
213	Ford	Focus Wagon - railing	2008-2011	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
214	Ford	Focus Wagon	2011-2018	Tetto nudo	YK737W		Y8050196	Y8050188				Y8050235	Y8050228			tetto standard
215	Ford	Focus Wagon - profilo	2011-2018	Profili integrati	YK1000W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
216	Ford	Fusion - fixpoint	2002-2005	Punti fissi	YK340W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
217	Ford	Galaxy - profilo scanalato	2006-2010	Profili a T	YK434W		Y8050196	Y8050189				Y8050235	Y8050229			profilo scanalato
218	Ford	Galaxy - profilo	2010-2015	Profili integrati	YK764W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
219	Ford	Galaxy - profilo	2015-	Profili integrati	YK1042W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
220	Ford	Gran Tourneo Connect - profilo	2019-	Profili integrati	YK764W	Y8050183		Y8050189			Y8050223		Y8050229			profilo integrato
221	Ford	Ka+	2016-2019	Tetto nudo	YK1045W		Y8050195	Y8050187				Y8050234	Y8050227			tetto standard
222	Ford	Kuga - railing	2008-2013	Barre lungitudinali	YK328W			Y8050188		Y8050210			Y8050228		Y8050247	railing standard
223	Ford	Kuga	2013-2019	Tetto nudo	YK701W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
224	Ford	Kuga - railing	2013-2019	Barre lungitudinali	YK328W		Y8050196	Y8050188				Y8050235	Y8050228			railing standard
225	Ford	Mondeo 4p - fixpoint	2000-2007	Punti fissi	YK370W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
226	Ford	Mondeo 4p	2007-2014	Tetto nudo	YK317W	Y8050182		Y8050189			Y8050222		Y8050229			tetto standard
227	Ford	Mondeo 4p	2014-	Tetto nudo	YK915W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
228	Ford	Mondeo 5p	2007-2010	Tetto nudo	YK317W	Y8050182		Y8050188			Y8050222		Y8050228			tetto standard
229	Ford	Mondeo sw	2001-2007	Tetto nudo	YK143W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
230	Ford	Mondeo sw - railing	2001-2007	Barre lungitudinali	YK328W			Y8050188	Y8050202				Y8050228	Y8050239		railing standard
231	Ford	Mondeo Wagon - railing	2007-2014	Barre lungitudinali	YK328W		Y8050195	Y8050188		Y8050209		Y8050234	Y8050228		Y8050246	railing standard
232	Ford	Mondeo Wagon - profilo	2007-2014	Profili integrati	YK1000W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
233	Ford	Mondeo Wagon	2014-	Tetto nudo	YK1007W		Y8050197	Y8050188				Y8050236	Y8050228			tetto standard
234	Ford	Mondeo Wagon - profilo	2014-	Profili integrati	YK1042W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
235	Ford	Ranger	2012-	Tetto nudo	YK611W	Y8050182		Y8050189			Y8050222		Y8050229			tetto standard
236	Ford	S-Max - fixpoint	2006-2015	Punti fissi	YK602W		Y8050198	Y8050189				Y8050237	Y8050229			tetto fixpoint
237	Ford	S-Max	2015-	Tetto nudo	YK974W	Y8050184		Y8050189			Y8050224		Y8050229			tetto standard
238	Ford	S-Max - profilo	2015-	Profili integrati	YK1042W	Y8050182		Y8050188			Y8050222		Y8050228			profilo integrato
239	Ford	Tourneo Connect - fixpoint	2002-2013	Punti fissi	YK440W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
240	Ford	Tourneo Connect - profilo	2013-	Profili integrati	YK764W	Y8050183		Y8050189			Y8050223		Y8050229			profilo integrato
241	Ford	Tourneo Connect 7 - profilo	2014-2019	Profili integrati	YK764W	Y8050183		Y8050189			Y8050223		Y8050229			profilo integrato
242	Ford	Tourneo Courier - railing	2014-	Barre lungitudinali	YK328W	Y8050181		Y8050188	Y8050204		Y8050221		Y8050228	Y8050241		railing standard
243	Ford	Transit Connect - fixpoint	2002-2013	Punti fissi	YK440W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
244	Ford	Transit Connect - fixpoint	2013-	Punti fissi	YK838W		Y8050197	Y8050189				Y8050236	Y8050229			tetto fixpoint
245	Ford	Transit Courier - railing	2014-	Barre lungitudinali	YK328W	Y8050181		Y8050188	Y8050204		Y8050221		Y8050228	Y8050241		railing standard
246	Honda	Accord 4p	2003-2008	Tetto nudo	YK194W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
247	Honda	Accord 4p	2008-2014	Tetto nudo	YK361W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
248	Honda	Accord Tourer - railing	2008-2013	Barre lungitudinali	YK328W			Y8050188		Y8050210			Y8050228		Y8050247	railing standard
249	Honda	Civic 4p	2001-2006	Tetto nudo	YK133W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
250	Honda	Civic 4p	2006-2009	Tetto nudo	YK304W	Y8050182		Y8050188			Y8050222		Y8050228			tetto standard
251	Honda	Civic 4p	2017-	Tetto nudo	YK1031W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
252	Honda	Civic 5p	2001-2005	Tetto nudo	YK135W			Y8050187					Y8050227			tetto standard
253	Honda	Civic 5p	2006-2012	Tetto nudo	YK830W		Y8050194	Y8050188				Y8050233	Y8050228			tetto standard
254	Honda	Civic 5p	2012-2017	Tetto nudo	YK661W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
255	Honda	Civic 5p (no tetto vetro)	2017-	Tetto nudo	YK1065W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
256	Honda	Civic Tourer - profilo	2014-2018	Profili integrati	YK795W			Y8050188					Y8050228			profilo integrato
257	Honda	CR-V - fixpoint	2002-2006	Punti fissi	YK452W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
258	Honda	CR-V - fixpoint	2007-2012	Punti fissi	YK448W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
259	Honda	CR-V	2012-2018	Tetto nudo	YK673W		Y8050196	Y8050188				Y8050235	Y8050228			tetto standard
260	Honda	CR-V - profilo	2012-2018	Profili integrati	YK676W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
261	Honda	FR-V 5p - railing	2004-2010	Barre lungitudinali	YK328W			Y8050190					Y8050230			railing standard
262	Honda	HR-V	2015-	Tetto nudo	YK896W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
263	Honda	HR-V - profilo	2015-	Profili integrati	YK892W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
264	Honda	Insight Hybrid	2009-2013	Tetto nudo	YK542W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
265	Honda	Jazz	2001-2008	Tetto nudo	YK145W	Y8050178		Y8050188			Y8050218		Y8050228			tetto standard
266	Honda	Jazz	2008-2015	Tetto nudo	YK446W		Y8050194	Y8050187				Y8050233	Y8050227			tetto standard
267	Honda	Jazz	2015-	Tetto nudo	YK853W		Y8050193	Y8050188				Y8050232	Y8050228			tetto standard
268	Hyundai	Accent	2006-2009	Tetto nudo	YK389W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
269	Hyundai	Accent 5p	1995-2006	Tetto nudo	YK170W			Y8050188					Y8050228			tetto standard
270	Hyundai	Getz 5p	2002-2009	Tetto nudo	YK197W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
271	Hyundai	i10	2008-2013	Tetto nudo	YK787W	Y8050179		Y8050188			Y8050219		Y8050228			tetto standard
272	Hyundai	i10	2013-2020	Tetto nudo	YK787W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
273	Hyundai	i20 5p	2009-2014	Tetto nudo	YK463W		Y8050194	Y8050187				Y8050233	Y8050227			tetto standard
274	Hyundai	i20 5p - fixpoint	2014-	Punti fissi	YK888W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
275	Hyundai	i20 5p (solo Active) - railing	2014-	Barre lungitudinali	YK328W		Y8050195	Y8050188		Y8050209		Y8050234	Y8050228		Y8050246	railing standard
276	Hyundai	i30 3p - fixpoint	2013-2016	Punti fissi	YK806W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
277	Hyundai	i30 5p - fixpoint	2007-2012	Punti fissi	YK451W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
278	Hyundai	i30 5p - fixpoint	2012-2016	Punti fissi	YK451W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
279	Hyundai	i30 5p (solo tetto vetro)	2017-	Tetto nudo	YK1079W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
280	Hyundai	i30 5p - fixpoint	2017-	Punti fissi	YK1063W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
281	Hyundai	i30 CW	2008-2012	Tetto nudo	YK413W	Y8050179		Y8050188			Y8050219		Y8050228			tetto standard
282	Hyundai	i30 CW - railing	2008-2012	Barre lungitudinali	YK328W			Y8050188	Y8050202				Y8050228	Y8050239		railing standard
283	Hyundai	i30 Fastback 5p (no tetto vetro) - fixpoint	2018-	Punti fissi	YK1108W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fixpoint
284	Hyundai	i30 Wagon - fixpoint	2012-2017	Punti fissi	YK698W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
285	Hyundai	i30 Wagon - profilo	2017-	Profili integrati	YK1044W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
286	Hyundai	i40 Wagon - fixpoint	2011-2019	Punti fissi	YK534W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
287	Hyundai	Ioniq	2016-	Tetto nudo	YK1144W	Y8050181		Y8050189			Y8050221		Y8050229			tetto standard
288	Hyundai	ix20	2010-	Tetto nudo	YK784W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
289	Hyundai	ix35	2010-2015	Tetto nudo	YK522W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
290	Hyundai	ix35 - railing	2010-2015	Barre lungitudinali	YK328W		Y8050196	Y8050188		Y8050210		Y8050235	Y8050228		Y8050247	railing standard
291	Hyundai	ix35 - profilo	2010-2015	Profili integrati	YK505W	Y8050180		Y8050188			Y8050220		Y8050228			profilo integrato
292	Hyundai	ix55 - railing	2009-2012	Barre lungitudinali	YK328W			Y8050189	Y8050204				Y8050229	Y8050241		railing standard
293	Hyundai	Matrix - railing	2001-2010	Barre lungitudinali	YK328W			Y8050188	Y8050202				Y8050228	Y8050239		railing standard
294	Hyundai	Santa Fe - railing	2001-2006	Barre lungitudinali	YK328W			Y8050188	Y8050202				Y8050228	Y8050239		railing standard
295	Hyundai	Santa Fe - railing	2006-2012	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
296	Hyundai	Santa Fe - profilo	2006-2012	Profili integrati	YK395W	Y8050180		Y8050188			Y8050220		Y8050228			profilo integrato
297	Hyundai	Santa Fe - profilo	2012-2018	Profili integrati	YK775W	Y8050182		Y8050189			Y8050222		Y8050229			profilo integrato
298	Hyundai	Terracan - profilo scanalato	2002-2008	Profili a T	YK333W	Y8050184		Y8050189			Y8050224		Y8050229			profilo scanalato
299	Hyundai	Tucson - railing	2004-2010	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
300	Hyundai	Tucson	2015-	Tetto nudo	YK1057W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
301	Hyundai	Tucson (solo tetto vetro) - profilo	2015-	Profili integrati	YK962W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
302	Hyundai	Tucson (no tetto vetro) - profilo	2015-	Profili integrati	YK924W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
303	Hyundai	Tucson - profilo	2018-	Profili integrati	YK1129W		Y8050195	Y8050189				Y8050234	Y8050229			profilo integrato
304	Infiniti	EX	2008-2013	Tetto nudo	YK531W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
305	Infiniti	FX - railing	2008-2014	Barre lungitudinali	YK328W	Y8050180		Y8050189		Y8050210	Y8050220		Y8050229		Y8050247	railing standard
306	Infiniti	G	2008-2013	Tetto nudo	YK703W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
307	Infiniti	Q30 - fixpoint	2015-2020	Punti fissi	YK650W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
308	Infiniti	Q30 - profilo	2015-2020	Profili integrati	YK1051W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
309	Infiniti	Q50	2014-2020	Tetto nudo	YK985W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
310	Infiniti	Q70	2014-2019	Tetto nudo	YK984W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
311	Infiniti	QX30 - profilo	2016-2020	Profili integrati	YK1051W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
312	Infiniti	QX50 - railing	2014-2017	Barre lungitudinali	YK328W		Y8050193	Y8050188				Y8050232	Y8050228			railing standard
313	Infiniti	QX70 - railing	2014-2019	Barre lungitudinali	YK328W	Y8050180		Y8050188		Y8050210	Y8050220		Y8050228		Y8050247	railing standard
314	Jaguar	F-Pace - profilo	2016-	Profili integrati	YK1025W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
315	Jaguar	X-Type 4p - fixpoint	2001-2009	Punti fissi	YK378W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
316	Jaguar	XF 4p	2008-2015	Tetto nudo	YK498W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
317	Jeep	Cherokee - railing	2001-2008	Barre lungitudinali	YK328W			Y8050188	Y8050204				Y8050228	Y8050241		railing standard
318	Jeep	Cherokee - railing	2008-2014	Barre lungitudinali	YK328W			Y8050189	Y8050206				Y8050229	Y8050243		railing standard
319	Jeep	Cherokee	2014-2018	Tetto nudo	YK818W	Y8050182		Y8050189			Y8050222		Y8050229			tetto standard
320	Jeep	Cherokee - railing	2014-	Barre lungitudinali	YK328W		Y8050196	Y8050189		Y8050209		Y8050235	Y8050229		Y8050246	railing standard
321	Jeep	Commander - profilo scanalato	2006-2010	Profili a T	YK495W	Y8050185		Y8050190			Y8050225		Y8050230			profilo scanalato
322	Jeep	Compass - profilo	2011-2015	Profili integrati	YK684W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
323	Jeep	Compass (anche tettuccio) - profilo	2017-	Profili integrati	YK684W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
324	Jeep	Grand Cherokee	1999-2005	Tetto nudo	YK592W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
325	Jeep	Grand Cherokee - railing	1999-2005	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
326	Jeep	Grand Cherokee - railing	2005-2010	Barre lungitudinali	YK328W			Y8050189	Y8050205				Y8050229	Y8050242		railing standard
327	Jeep	Grand Cherokee (solo profilo verniciato) - profilo	2011-	Profili integrati	YK835W		Y8050195	Y8050189				Y8050234	Y8050229			profilo integrato
328	Jeep	Grand Cherokee (solo profilo alluminio) - profilo	2011-	Profili integrati	YK624W		Y8050195	Y8050189				Y8050234	Y8050229			profilo integrato
329	Jeep	Patriot - railing	2007-2012	Barre lungitudinali	YK328W	Y8050181		Y8050188			Y8050221		Y8050228			railing standard
330	Jeep	Renegade - railing	2014-	Barre lungitudinali	YK328W	Y8050183		Y8050189	Y8050205		Y8050223		Y8050229	Y8050242		railing standard
331	Jeep	Wrangler 2p - gocciolatoio	2018-	Grondina	YK324W			Y8050190					Y8050230			gocciolatoio
332	Jeep	Wrangler Unlimited 4p - gocciolatoio	2018-	Grondina	YK324W			Y8050190					Y8050230			gocciolatoio
333	Kia	Carens	2006-2013	Tetto nudo	YK376W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
334	Kia	Carens - railing	2006-2013	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
335	Kia	Carens - profilo	2013-2019	Profili integrati	YK813W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
336	Kia	Cee'd 5p - fixpoint	2007-2012	Punti fissi	YK451W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
337	Kia	Cee'd 5p - fixpoint	2012-2018	Punti fissi	YK451W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
338	Kia	Cee'd Sportswagon - profilo	2012-2018	Profili integrati	YK729W		Y8050194	Y8050188				Y8050233	Y8050228			profilo integrato
339	Kia	Cee'd Sporty Wagon - railing	2007-2012	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
340	Kia	Ceed 5p (no tetto vetro) - fixpoint	2018-	Punti fissi	YK451W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
341	Kia	Ceed Sportswagon - profilo	2018-	Profili integrati	YK1044W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
342	Kia	Niro - profilo	2016-	Profili integrati	YK1019W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
343	Kia	Optima 4p (no tetto vetro)	2016-2019	Tetto nudo	YK983W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
344	Kia	Optima Sportwagon - profilo	2016-2019	Profili integrati	YK1044W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
345	Kia	Picanto 5p	2011-2017	Tetto nudo	YK745W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
346	Kia	Pro Cee'd 3p (solo GT) - fixpoint	2013-2014	Punti fissi	YK439W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
347	Kia	Pro Cee'd 3p (no GT) - fixpoint	2013-2014	Punti fissi	YK451W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
348	Kia	Rio 5p	2005-2011	Tetto nudo	YK931W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
349	Kia	Rio 5p	2011-2017	Tetto nudo	YK651W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
350	Kia	Rio 5p	2017-	Tetto nudo	YK1053W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
351	Kia	Sorento - profilo scanalato	2002-2009	Profili a T	YK449W			Y8050188					Y8050228			profilo scanalato
352	Kia	Sorento - railing	2009-2015	Barre lungitudinali	YK328W			Y8050188		Y8050211			Y8050228		Y8050248	railing standard
353	Kia	Sorento - profilo	2015-	Profili integrati	YK903W		Y8050196	Y8050188				Y8050235	Y8050228			profilo integrato
354	Kia	Soul	2009-2013	Tetto nudo	YK433W	Y8050181		Y8050188			Y8050221		Y8050228			tetto standard
355	Kia	Soul - railing	2009-2013	Barre lungitudinali	YK328W			Y8050188	Y8050204				Y8050228	Y8050241		railing standard
356	Kia	Soul (solo EV)	2014-2019	Tetto nudo	YK857W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
357	Kia	Soul (no EV) - fixpoint	2014-2019	Punti fissi	YK815W	Y8050181		Y8050188			Y8050221		Y8050228			tetto fixpoint
358	Kia	Soul (solo tetto vetro) - profilo	2014-2019	Profili integrati	YK813W		Y8050196					Y8050235				profilo integrato
359	Kia	Sportage - railing	2004-2010	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
360	Kia	Sportage	2010-2016	Tetto nudo	YK554W		Y8050196	Y8050188				Y8050235	Y8050228			tetto standard
361	Kia	Sportage (anche tetto vetro) - profilo	2010-2016	Profili integrati	YK543W		Y8050195	Y8050188				Y8050234	Y8050228			profilo integrato
362	Kia	Stonic	2017-	Tetto nudo	YK1094W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
363	Kia	Venga (anche tettuccio)	2010-2019	Tetto nudo	YK784W		Y8050196	Y8050189				Y8050235	Y8050229			tetto standard
364	Lancia	Delta	2008-2015	Tetto nudo	YK969W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
365	Land Rover	Discovery - profilo	2017-	Profili integrati	YK1073W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
366	Land Rover	Discovery 5p - fixpoint	2004-2016	Punti fissi	YK436W	Y8050182		Y8050189			Y8050222		Y8050229			tetto fixpoint
367	Land Rover	Discovery 5p - railing	2004-2009	Barre lungitudinali	YK328W			Y8050189					Y8050229			railing standard
368	Land Rover	Discovery 5p - profilo scanalato	2004-2016	Profili a T	YK450W		Y8050196	Y8050189				Y8050235	Y8050229			profilo scanalato
369	Land Rover	Discovery Sport 5p - railing	2015-	Barre lungitudinali	YK328W	Y8050183		Y8050189			Y8050223		Y8050229			railing standard
370	Land Rover	Evoque 5p - railing	2011-2018	Barre lungitudinali	YK328W	Y8050183		Y8050189			Y8050223		Y8050229			railing standard
371	Land Rover	Freelander 5p	2006-2015	Tetto nudo	YK455W	Y8050182		Y8050189			Y8050222		Y8050229			tetto standard
372	Land Rover	Freelander 5p - railing	2006-2015	Barre lungitudinali	YK328W	Y8050181		Y8050188		Y8050210	Y8050221		Y8050228		Y8050247	railing standard
373	Land Rover	Range Rover - fixpoint	2002-2012	Punti fissi	YK399W	Y8050183		Y8050189			Y8050223		Y8050229			tetto fixpoint
374	Land Rover	Range Rover Sport - fixpoint	2005-2013	Punti fissi	YK436W	Y8050184		Y8050190			Y8050224		Y8050230			tetto fixpoint
375	Land Rover	Range Rover Velar - profilo	2017-	Profili integrati	YK1091W		Y8050197	Y8050189				Y8050236	Y8050229			profilo integrato
376	Lexus	CT	2011-2013	Tetto nudo	YK586W	Y8050180		Y8050187			Y8050220		Y8050227			tetto standard
377	Lexus	CT	2014-	Tetto nudo	YK586W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
378	Lexus	GS	2012-2018	Tetto nudo	YK840W		Y8050195	Y8050188				Y8050234	Y8050228			tetto standard
379	Lexus	IS 4p	2006-2013	Tetto nudo	YK546W	Y8050180		Y8050187			Y8050220		Y8050227			tetto standard
380	Lexus	IS 4p	2013-	Tetto nudo	YK797W	Y8050180		Y8050188			Y8050220		Y8050228			tetto standard
381	Lexus	NX	2014-	Tetto nudo	YK1026W		Y8050197	Y8050189				Y8050236	Y8050229			tetto standard
382	Lexus	NX - profilo	2014-	Profili integrati	YK893W		Y8050196	Y8050189				Y8050235	Y8050229			profilo integrato
383	Lexus	RX - railing	2003-2009	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
384	Lexus	RX - fix-point	2009-2015	Punti fissi	YK716W		Y8050196	Y8050188				Y8050235	Y8050228			tetto fix/standard
385	Lexus	RX - railing	2009-2015	Barre lungitudinali	YK328W			Y8050188	Y8050204				Y8050228	Y8050241		railing standard
386	Lexus	RX - profilo	2020-	Profili integrati	YK1040W		Y8050195	Y8050189				Y8050234	Y8050229			profilo integrato
387	Mazda	2 5p	2003-2007	Tetto nudo	YK312W	Y8050179		Y8050187			Y8050219		Y8050227			tetto standard
388	Mazda	2 5p	2007-2015	Tetto nudo	YK311W	Y8050178		Y8050187			Y8050218		Y8050227			tetto standard
389	Mazda	2 5p - fixpoint	2007-2015	Punti fissi	YK451W		Y8050193	Y8050187				Y8050232	Y8050227			tetto fixpoint
390	Mazda	3 4p - fixpoint	2004-2010	Punti fissi	YK340W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
391	Mazda	3 4p - fixpoint	2010-2013	Punti fissi	YK451W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
392	Mazda	3 5p - fixpoint	2004-2009	Punti fissi	YK340W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
393	Mazda	3 5p - fixpoint	2009-2013	Punti fissi	YK451W		Y8050195	Y8050188				Y8050234	Y8050228			tetto fixpoint
394	Mazda	5 5p - fixpoint	2005-2010	Punti fissi	YK500W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
395	Mazda	5 5p - railing	2005-2010	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
396	Mazda	5 5p - fixpoint	2010-2013	Punti fissi	YK500W		Y8050194	Y8050188				Y8050233	Y8050228			tetto fixpoint
397	Mazda	6 4p - fixpoint	2003-2008	Punti fissi	YK340W	Y8050179		Y8050188			Y8050219		Y8050228			tetto fixpoint
398	Mazda	6 4p - fixpoint	2008-2012	Punti fissi	YK340W	Y8050180		Y8050188			Y8050220		Y8050228			tetto fixpoint
399	Mazda	6 Wagon - fixpoint	2002-2008	Punti fissi	YK340W	Y8050179		Y8050188			Y8050219		Y8050228			tetto fixpoint
400	Mazda	6 Wagon - railing	2002-2008	Barre lungitudinali	YK328W			Y8050188	Y8050203				Y8050228	Y8050240		railing standard
401	Mazda	6 Wagon - railing	2008-2012	Barre lungitudinali	YK328W			Y8050188		Y8050209			Y8050228		Y8050246	railing standard
